eid,affiliation_id,affiliation_name,affiliation_country
2-s2.0-72749121548,60010432,Soochow University,China
2-s2.0-72749121548,60022169,University of Tampere Institute of Medical Technology,Finland
2-s2.0-72749121548,60073652,Tongji University,China
2-s2.0-72749085355,107423287,Key Laboratory of Forest Germplasm Conservation,China
2-s2.0-72749085355,60073720,Henan Institute of Science and Technology,China
2-s2.0-72749087053,60017010,Liaoning Normal University,China
2-s2.0-72749115956,60005949,Central South University of Forestry &amp; Technology,China
2-s2.0-72749083676,60029885,Sichuan Agricultural University,China
2-s2.0-72749100693,60001338,Changsha University of Science and Technology,China
2-s2.0-72749083167,60030553,Universite de Rennes 1,France
2-s2.0-72749083167,60000745,University of Illinois at Urbana-Champaign,United States
2-s2.0-72749118547,60015742,Dalian Institute of Chemical Physics Chinese Academy of Sciences,China
2-s2.0-72749127374,60092437,Tianjin University of Science &amp; Technology,China
2-s2.0-72749119775,60073720,Henan Institute of Science and Technology,China
2-s2.0-72749119453,60103821,Zhejiang Sci-Tech University,China
2-s2.0-72749123170,60005949,Central South University of Forestry &amp; Technology,China
2-s2.0-72749115940,60017483,Institute of Oceanology Chinese Academy of Sciences,China
2-s2.0-72749115940,60019496,Qingdao University of Science and Technology,China
2-s2.0-72749098380,100603858,European Center for Soft Computing,Spain
2-s2.0-72749098380,100701119,Maison de la Recherche Blaise Pascal,France
2-s2.0-72749111665,60011520,King's College London,United Kingdom
2-s2.0-72749111665,60001359,University of Essex,United Kingdom
2-s2.0-72749114148,60005232,University of Maryland Eastern Shore,United States
2-s2.0-72749114148,60012771,Howard University,United States
2-s2.0-72749121089,60018308,Xi'an Jiaotong University,China
2-s2.0-72749091324,60003977,Northwestern Polytechnical University,China
2-s2.0-72749110755,60083512,Heilongjiang Academy of Agricultural Sciences,China
2-s2.0-72749094047,60029322,Dalian Maritime University,China
2-s2.0-72749122518,60032203,South China Agricultural University,China
2-s2.0-75449119681,60028153,Banasthali University,India
2-s2.0-75449119681,60032694,International Centre for Genetic Engineering and Biotechnology,Italy
2-s2.0-75449119681,60020458,Jamia Millia Islamia,India
2-s2.0-75449119681,60010062,"Istituto Superiore Di Sanita, Rome",Italy
