,Unnamed: 0,eid,Author_ID,Affiliation_ID,cite,Auth_Ave_Cites,IsHigh
0,14,2-s2.0-84858487958,6507050078,60027090,0,not high,0
3,29,2-s2.0-84858503835,6507050078,60027090,0,not high,0
6,37,2-s2.0-37349041400,35453822900,60015760,7,not high,0
9,41,2-s2.0-37349014523,8565487400,60021606,3,not high,0
15,51,2-s2.0-84858512072,6507701652,60009254,0,not high,0
16,55,2-s2.0-37349042217,6603875187,60008088,0,not high,0
19,75,2-s2.0-37349084966,57192199561,60030074,4,not high,0
20,88,2-s2.0-41049089044,7801461825,60002441,4,not high,0
22,103,2-s2.0-37249048033,7407026305,60021062,0,not high,0
25,109,2-s2.0-37249001273,7102315971,,0,not high,0
27,125,2-s2.0-37249020943,7003403956,,0,not high,0
28,131,2-s2.0-37249001283,6604039051,,0,not high,0
30,133,2-s2.0-37249078153,7102694556,,0,not high,0
32,150,2-s2.0-37249025126,7005162881,,0,not high,0
33,153,2-s2.0-37249003780,34881196600,,0,not high,0
35,167,2-s2.0-37249089783,7004547092,,0,not high,0
37,170,2-s2.0-37249059329,6701744681,,0,not high,0
39,175,2-s2.0-37249013422,7003659610,,0,not high,0
40,188,2-s2.0-37249046051,55161815100,,0,high,1
41,189,2-s2.0-37249068521,15020960900,60010146,0,not high,0
45,202,2-s2.0-37249069367,8938269000,60102097,3,not high,0
47,204,2-s2.0-37249029202,7005999348,60030318,3,not high,0
49,210,2-s2.0-37249092973,7102694556,60010065,2,not high,0
51,217,2-s2.0-37249017509,9250276900,60022904,0,not high,0
52,218,2-s2.0-37249087909,6602412360,60032259,3,not high,0
55,221,2-s2.0-37249000969,12244507900,60006602,0,not high,0
56,223,2-s2.0-37249040464,16406791200,60010065,1,not high,0
57,226,2-s2.0-37249006817,55765845700,60013682,2,not high,0
58,231,2-s2.0-37249063096,6603701683,60022659,0,not high,0
60,234,2-s2.0-37249064221,6601977537,60025038,0,not high,0
62,238,2-s2.0-37249025116,7005811436,60029526,0,not high,0
64,241,2-s2.0-37249017997,7004477004,60002952,8,not high,0
65,242,2-s2.0-37249014401,14028019700,60027090,11,not high,0
68,247,2-s2.0-37249075905,56155497500,60010365,8,not high,0
69,254,2-s2.0-37249011265,35515248200,60027090,5,not high,0
71,258,2-s2.0-37249012841,35739937200,60022659,1,not high,0
74,261,2-s2.0-37249047123,7402963704,60028876,0,not high,0
75,263,2-s2.0-37249026752,7003472684,60015457,0,not high,0
76,266,2-s2.0-37249019523,35955772400,60027561,0,not high,0
78,268,2-s2.0-84954348756,15920858600,60012279,0,not high,0
79,275,2-s2.0-42149134851,6603053445,60030506,32,not high,0
81,279,2-s2.0-48149107668,7101903349,60009343,0,not high,0
86,285,2-s2.0-42149187635,7004358364,60002494,35,not high,0
87,286,2-s2.0-38849207456,6507481906,60024025,14,not high,0
91,293,2-s2.0-42149156031,9039230800,60030619,15,not high,0
94,299,2-s2.0-42149105642,7004241909,60025858,14,not high,0
95,314,2-s2.0-37149006746,7005218159,,0,not high,0
96,315,2-s2.0-37149026778,6701786379,,0,not high,0
97,335,2-s2.0-36249011457,35399260400,60007103,23,not high,0
98,345,2-s2.0-38049100561,24287148000,60029322,1,not high,0
99,354,2-s2.0-40649125860,12775808300,60032619,12,not high,0
101,362,2-s2.0-44449144053,7003522661,60020730,30,not high,0
102,363,2-s2.0-37149006797,8940684300,60009081,7,not high,0
103,373,2-s2.0-44349171666,35425749000,60006297,147,high,1
104,374,2-s2.0-40549106454,56253624200,60068684,29,not high,0
109,392,2-s2.0-38049165680,7402466014,60007762,48,not high,0
110,394,2-s2.0-39049169222,7003496015,60029616,41,not high,0
111,395,2-s2.0-35348872479,12803819700,60030623,65,not high,0
113,402,2-s2.0-37349064215,7201857794,60025761,14,not high,0
114,411,2-s2.0-36849069880,7202449311,60029830,5,not high,0
120,420,2-s2.0-36849036339,35510667500,60025063,24,not high,0
121,421,2-s2.0-63049131431,7201992253,60086924,1,not high,0
122,427,2-s2.0-35448934906,14619303300,60014097,3,not high,0
124,431,2-s2.0-36849020504,12241543200,60020273,59,not high,0
126,435,2-s2.0-36849076228,7101695336,60003500,75,not high,0
128,442,2-s2.0-39749134935,8294001800,60026124,14,high,1
133,449,2-s2.0-36849041067,12752834100,60029445,18,not high,0
137,462,2-s2.0-36749073976,8578363900,60020329,15,not high,0
142,475,2-s2.0-36849039007,6602183658,60015543,5,not high,0
143,491,2-s2.0-37149042731,7402693215,60030162,132,not high,0
144,493,2-s2.0-41149099117,7003983915,60006183,18,high,1
145,496,2-s2.0-36749018036,36050149600,60028190,3,not high,0
146,517,2-s2.0-38049100456,7402540442,60001001,566,not high,0
148,528,2-s2.0-37148999906,36068588000,60025084,1,not high,0
149,534,2-s2.0-38849131252,7102406086,60020304,185,high,1
150,538,2-s2.0-70449509741,35503251300,60029622,26,not high,0
153,548,2-s2.0-35348913169,45261161300,60008042,27,not high,0
155,573,2-s2.0-41649087062,35396900300,60006577,12,high,1
157,648,2-s2.0-38849195476,7102355694,60027950,11,not high,0
159,653,2-s2.0-44249109690,7601492602,60073622,8,not high,0
161,668,2-s2.0-39049156291,6602098885,60015457,2,not high,0
162,672,2-s2.0-36448959817,57050756600,60032882,3,not high,0
163,674,2-s2.0-36448997026,35613483800,60006224,1,not high,0
165,676,2-s2.0-36448960928,24352265200,60013409,30,not high,0
167,681,2-s2.0-46849097590,8921913600,60003892,5,not high,0
170,694,2-s2.0-84878125755,8552776700,60028599,1,not high,0
171,705,2-s2.0-77953069142,7202168165,60009254,0,not high,0
173,708,2-s2.0-47649107840,35249260000,60018353,1,not high,0
174,710,2-s2.0-84881405964,55490514300,60010818,1,not high,0
175,717,2-s2.0-39749131260,6602862513,60021508,1,not high,0
176,720,2-s2.0-47649089268,7006739881,60020547,0,not high,0
177,722,2-s2.0-48049094552,6505925601,60022195,1,not high,0
179,727,2-s2.0-47349117941,7402350946,60027090,0,not high,0
180,731,2-s2.0-77956444163,18634784100,60020623,0,not high,0
181,733,2-s2.0-38449113492,36045082900,60032179,37,high,1
182,747,2-s2.0-44949201114,7003815880,60003467,0,not high,0
184,756,2-s2.0-49349085693,7403345932,60002593,0,not high,0
185,758,2-s2.0-84871966722,55577597300,60019544,0,not high,0
188,761,2-s2.0-37849039005,7006097445,60033114,0,not high,0
190,764,2-s2.0-71449125110,6701705865,60019939,0,not high,0
191,769,2-s2.0-38149000193,6506415063,60003858,5,not high,0
193,772,2-s2.0-38049009570,7007059643,60003858,0,not high,0
194,773,2-s2.0-41249100224,7007102355,60025135,28,high,1
196,783,2-s2.0-38149120506,8623907300,60002306,0,not high,0
198,787,2-s2.0-47649091687,6701323255,60003892,1,not high,0
199,790,2-s2.0-46449116074,7405855049,60014966,5,not high,0
200,792,2-s2.0-51149123030,6603438361,60001115,0,not high,0
201,795,2-s2.0-38149045083,7402091831,60017161,0,not high,0
202,799,2-s2.0-49949094603,12143441100,60014674,2,not high,0
203,803,2-s2.0-42549107938,6603803702,60010803,11,not high,0
209,897,2-s2.0-51849101958,8843300600,60029570,0,not high,0
211,904,2-s2.0-40949129121,6701514182,60033154,2,not high,0
212,906,2-s2.0-40949087188,15844117000,60010345,2,not high,0
215,909,2-s2.0-47649109220,8565487400,60021606,2,not high,0
223,920,2-s2.0-44949120588,55321463500,60023813,4,not high,0
225,923,2-s2.0-84887347472,6701789394,60022729,0,not high,0
227,925,2-s2.0-52249098107,15039176700,60020999,1,not high,0
230,938,2-s2.0-38349169319,55883414800,60001604,0,not high,0
231,939,2-s2.0-47349087257,21743470600,60027071,0,not high,0
233,947,2-s2.0-38049146002,7404394217,60018029,1,not high,0
234,950,2-s2.0-84869753601,7403345932,60002593,0,not high,0
235,957,2-s2.0-36849083542,7006169152,60000256,141,not high,0
238,973,2-s2.0-38349029219,7006556058,60024621,0,not high,0
239,974,2-s2.0-33847693072,7202946140,,0,not high,0
240,976,2-s2.0-38149075952,16229313100,60017697,1,not high,0
241,978,2-s2.0-38949084863,35444766700,60068684,0,not high,0
242,982,2-s2.0-51749086855,35585005300,60023760,0,not high,0
