,Author Keyword,eID,Abbreviation,Code,Text
0,"['Genetic Map', 'Genome', 'Grape', 'Molecular Breeding', 'Molecular Markers', 'Transcriptome']",2-s2.0-84961719997,BIOC,1305,Biotechnology
1,"['Hyperoxia-induced rats', 'miRNAs', 'Retinopathy of prematurity']",2-s2.0-84920269023,AGRI,1102,Agronomy and Crop Science
2,NaN,2-s2.0-84952910012,AGRI,1110,Plant Science
3,"['Genetic Map', 'Genome', 'Kiwifruit', 'Molecular Breeding', 'Molecular Markers', 'Transcriptome']",2-s2.0-84961696313,CHEM,1606,Physical and Theoretical Chemistry
4,"['CNET', 'Colorectal neuroendocrine tumor', 'MiRNA-186', 'PTTG1']",2-s2.0-84957110623,CHEM,1605,Organic Chemistry
5,"['Cancer immunology', 'Cancer immunotherapy', 'CIMT 2014', 'Tumor vaccination']",2-s2.0-84933181837,CHEM,1607,Spectroscopy
6,"['DSP across the curriculum', 'Multidisciplinary DSP']",2-s2.0-84964039176,CHEM,1604,Inorganic Chemistry
7,"['Antigenic density', 'Drug targets', 'Echinococcus multilocularis', 'Excretory/secretory protein']",2-s2.0-84952311998,CENG,1503,Catalysis
8,NaN,2-s2.0-84957968872,BIOC,1312,Molecular Biology
9,"['Francisella tularensis', 'Host-pathogen interactions', 'Intracellular pathogen', 'Protein-protein interactions', 'Virulence factors']",2-s2.0-84957969022,COMP,1706,Computer Science Applications
10,"['Bioinformatics', 'Methods', 'Sequencing']",2-s2.0-84951985537,MEDI,2700,Medicine (all)
11,"['artificial life', 'collective intelligence', 'multi-species prey-predator model', 'survival analysis']",2-s2.0-84964049732,CHEM,1606,Physical and Theoretical Chemistry
12,"['Assembly', 'Circularization']",2-s2.0-84951969455,BIOC,1305,Biotechnology
13,"['biological tissue', 'imaging system', 'reconstruction algorithm', 'thermoacoustic tomography', 'ultrasound']",2-s2.0-84963769486,AGRI,1102,Agronomy and Crop Science
14,"['Clustering', 'Data integration', 'Phylogenetic tree', 'Visualization']",2-s2.0-84957938576,AGRI,1110,Plant Science
15,"['Biclustering analysis', 'Curcumin', 'Natural medicines', 'Pharmacology', 'Si-Wu-Tang']",2-s2.0-84962468365,MEDI,2700,Medicine (all)
16,NaN,2-s2.0-84962812584,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
17,"['1-deoxy-D-xylulose-5-phosphate', 'Bioinformatics', 'Magnolia officinalis Rehd. et Wils.', 'Terpenoids', 'Transcriptome']",2-s2.0-84971441718,MEDI,2723,Immunology and Allergy
18,NaN,2-s2.0-84952794539,IMMU,2403,Immunology
19,"['Cell proliferation', 'MicroRNAs', 'Notch1', 'Receptor', 'Stomach neoplasms']",2-s2.0-84952684940,MEDI,2700,Medicine (all)
20,"['Bioinformatics', 'Carthamus tinctorius L.', 'Monofunction aspartokinase gene', 'Plant overexpression vector', 'RACE']",2-s2.0-84971383933,MEDI,2730,Oncology
21,NaN,2-s2.0-84962907396,BIOC,1306,Cancer Research
22,NaN,2-s2.0-84962789019,COMP,1711,Signal Processing
23,NaN,2-s2.0-84962921663,SOCI,3304,Education
24,NaN,2-s2.0-84962861093,IMMU,2405,Parasitology
25,NaN,2-s2.0-84962786492,MEDI,2725,Infectious Diseases
26,NaN,2-s2.0-84962881925,BIOC,1315,Structural Biology
27,NaN,2-s2.0-84962861095,BIOC,1303,Biochemistry
28,NaN,2-s2.0-84962910815,BIOC,1312,Molecular Biology
29,NaN,2-s2.0-84951847962,COMP,1706,Computer Science Applications
30,NaN,2-s2.0-84962829070,MATH,2604,Applied Mathematics
31,NaN,2-s2.0-84962860276,BIOC,1305,Biotechnology
32,"['algoritm', 'data fusion', 'medical', 'multisensor', 'sensors']",2-s2.0-84964018935,BIOC,1311,Genetics
33,NaN,2-s2.0-84962821795,BIOC,1312,Molecular Biology
34,NaN,2-s2.0-84962920848,COMP,1702,Artificial Intelligence
35,NaN,2-s2.0-84962896301,COMP,1706,Computer Science Applications
36,NaN,2-s2.0-84962858652,BIOC,1307,Cell Biology
37,NaN,2-s2.0-84962828487,AGRI,1105,"Ecology, Evolution, Behavior and Systematics"
38,NaN,2-s2.0-84962783521,BIOC,1311,Genetics
39,NaN,2-s2.0-84962890347,ENGI,2208,Electrical and Electronic Engineering
40,NaN,2-s2.0-84962861960,PHYS,3108,Radiation
41,NaN,2-s2.0-84962881527,ENVI,2301,Environmental Science (miscellaneous)
42,NaN,2-s2.0-84962866400,MATH,2604,Applied Mathematics
43,NaN,2-s2.0-84962851398,BIOC,1315,Structural Biology
44,NaN,2-s2.0-84962788189,BIOC,1303,Biochemistry
45,NaN,2-s2.0-84962914871,BIOC,1312,Molecular Biology
46,NaN,2-s2.0-84962787563,COMP,1706,Computer Science Applications
47,NaN,2-s2.0-84962875856,CENG,1503,Catalysis
48,NaN,2-s2.0-84962860754,BIOC,1312,Molecular Biology
49,NaN,2-s2.0-84962821128,COMP,1706,Computer Science Applications
50,NaN,2-s2.0-84962875903,CHEM,1607,Spectroscopy
51,NaN,2-s2.0-84962802883,CHEM,1606,Physical and Theoretical Chemistry
52,NaN,2-s2.0-84962800221,CHEM,1605,Organic Chemistry
53,NaN,2-s2.0-84962858028,CHEM,1604,Inorganic Chemistry
54,NaN,2-s2.0-84962910932,BIOC,1305,Biotechnology
55,NaN,2-s2.0-84962809894,COMP,1706,Computer Science Applications
56,NaN,2-s2.0-84962909870,ENGI,2204,Biomedical Engineering
57,NaN,2-s2.0-84962853251,MEDI,2718,Health Informatics
58,NaN,2-s2.0-84962786142,PHAR,3003,Pharmaceutical Science
59,NaN,2-s2.0-84962915358,PHAR,3002,Drug Discovery
60,NaN,2-s2.0-84947967069,MEDI,2707,Complementary and Alternative Medicine
61,NaN,2-s2.0-84962783947,MEDI,2736,Pharmacology (medical)
62,NaN,2-s2.0-84962881100,CHEM,1600,Chemistry (all)
63,"['calcium silicate', 'dental', 'micro computed tomography', 'soy', 'wettability']",2-s2.0-84962911812,CENG,1500,Chemical Engineering (all)
64,NaN,2-s2.0-84962892219,COMP,1706,Computer Science Applications
65,NaN,2-s2.0-84962815536,SOCI,3309,Library and Information Sciences
66,NaN,2-s2.0-84962885839,MEDI,2700,Medicine (all)
67,NaN,2-s2.0-84962856979,PHAR,3003,Pharmaceutical Science
68,NaN,2-s2.0-84962895447,PHAR,3002,Drug Discovery
69,NaN,2-s2.0-84944214846,MEDI,2707,Complementary and Alternative Medicine
70,"['3D-image processing', 'Control flow', 'dataflow', 'Field Programmable Gate Arrays (FPGA)', 'High-Performance Reconfigurable Computers (HPRC)', 'image filtering', 'mice lungs']",2-s2.0-84962865415,MEDI,2736,Pharmacology (medical)
71,NaN,2-s2.0-84962835236,BIOC,1305,Biotechnology
72,NaN,2-s2.0-84962868750,COMP,1706,Computer Science Applications
73,NaN,2-s2.0-84962920668,ENGI,2204,Biomedical Engineering
74,NaN,2-s2.0-84962788689,MEDI,2718,Health Informatics
75,NaN,2-s2.0-84962848878,BIOC,1305,Biotechnology
76,NaN,2-s2.0-84962799550,COMP,1706,Computer Science Applications
77,"['Duck', 'Plumage color', 'Promoter', 'SNP', 'Tyrosinase gene']",2-s2.0-84952690580,ENGI,2204,Biomedical Engineering
78,"['colon cancer', 'D3 Library', 'gene set enrichment', 'hub-gene', 'Javascript', 'visualization']",2-s2.0-84962815726,MEDI,2718,Health Informatics
79,NaN,2-s2.0-84962850868,BIOC,1305,Biotechnology
80,"['Alzheimer', 'Amyloid betaplaque', 'antibody', 'brain', 'focused ultrasound', 'MRI']",2-s2.0-84962856941,COMP,1706,Computer Science Applications
81,"['cyber security', 'healthcare applications', 'mHealth', 'mobile applications', 'mobile health']",2-s2.0-84962811744,ENGI,2204,Biomedical Engineering
82,NaN,2-s2.0-84962919829,MEDI,2718,Health Informatics
83,NaN,2-s2.0-84962811734,BIOC,1305,Biotechnology
84,NaN,2-s2.0-84950135995,COMP,1706,Computer Science Applications
85,NaN,2-s2.0-84962786723,ENGI,2204,Biomedical Engineering
86,NaN,2-s2.0-84962905978,MEDI,2718,Health Informatics
87,NaN,2-s2.0-84962914904,BIOC,1305,Biotechnology
88,NaN,2-s2.0-84962803707,COMP,1706,Computer Science Applications
89,NaN,2-s2.0-84962916688,ENGI,2204,Biomedical Engineering
90,NaN,2-s2.0-84962888812,MEDI,2718,Health Informatics
91,NaN,2-s2.0-84962812243,BIOC,1305,Biotechnology
92,"['FPGA', 'Metabolic P system', 'VHDL']",2-s2.0-84962875461,COMP,1706,Computer Science Applications
93,NaN,2-s2.0-84962883643,ENGI,2204,Biomedical Engineering
94,NaN,2-s2.0-84962881954,MEDI,2718,Health Informatics
95,NaN,2-s2.0-84962910868,BIOC,1305,Biotechnology
96,NaN,2-s2.0-84962812190,COMP,1706,Computer Science Applications
97,NaN,2-s2.0-84962844454,ENGI,2204,Biomedical Engineering
98,NaN,2-s2.0-84962788208,MEDI,2718,Health Informatics
99,"['BWA', 'Data-Intensive Workload and Concurrent Parallelization', 'High Performance Computing', 'Human Genome Sequence', 'Next Generation Sequencing', 'Thread Scalability']",2-s2.0-84962844476,BIOC,1305,Biotechnology
100,NaN,2-s2.0-84962822434,COMP,1706,Computer Science Applications
101,NaN,2-s2.0-84962866738,ENGI,2204,Biomedical Engineering
102,NaN,2-s2.0-84962809856,MEDI,2718,Health Informatics
103,NaN,2-s2.0-84962860002,PHYS,3100,Physics and Astronomy (all)
