,Author Keyword,eID,Abbreviation,Code,Text
0,"['Computational biology', 'Neurodegenerative diseases', 'Phylogeny', 'Prions', 'Proteomics']",2-s2.0-38049161948,BIOC,1303,Biochemistry
1,"['Biodiversity', 'Biological resource centre', 'Cyanobacterium', 'Integrated database', 'Model organism', 'Natural variation']",2-s2.0-36749042030,BIOC,1311,Genetics
2,NaN,2-s2.0-84858487958,BIOC,1311,Genetics
3,NaN,2-s2.0-84858511527,ENGI,2200,Engineering (all)
4,NaN,2-s2.0-84858503835,ENGI,2200,Engineering (all)
5,"['Bioinformatics tool', 'Comparative genomic hybridization', 'DNA microarray', 'Gene expression', 'Genomic shotgun libraries', 'Optimal clones']",2-s2.0-37349108551,ENGI,2200,Engineering (all)
6,"['Ab initio prediction', 'Molecular dynamics simulations', 'Protein 3-D structure', 'Three-α-helix bundle']",2-s2.0-37349041400,BIOC,1311,Genetics
7,"['Bioinformatics', 'Flagellar motility', 'Genome screens', 'Intraflagellar transport', 'Intraflagellar transport complex', 'Leishmania']",2-s2.0-37349014523,BIOC,1311,Genetics
8,NaN,2-s2.0-84858512072,BIOC,1311,Genetics
9,"['ECG signal processing', 'Heart monitoring', 'Mobile-health', 'Ventricular/tachycardia algorithm', 'Wireless ECG sensors']",2-s2.0-37349065612,ENGI,2200,Engineering (all)
10,NaN,2-s2.0-37349042217,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
11,"['Effector component', 'Lectin pathway', 'Promoter']",2-s2.0-36048947403,COMP,1700,Computer Science (all)
12,"['3-D modeling', 'Bioinformatics', 'Capsule endoscope', 'Image composition']",2-s2.0-37349030190,MATH,2614,Theoretical Computer Science
13,"['Bioinformatics', 'Latent semantic indexing', 'Molecular comparisons', 'Sequence alignments']",2-s2.0-37349084966,BIOC,1311,Genetics
14,NaN,2-s2.0-37349039010,BIOC,1303,Biochemistry
15,NaN,2-s2.0-84858483521,BIOC,1304,Biophysics
16,"['Discretization', 'Gene expression data', 'Reducts', 'Rough sets']",2-s2.0-37349071519,BIOC,1312,Molecular Biology
17,NaN,2-s2.0-84988591378,COMP,1700,Computer Science (all)
18,NaN,2-s2.0-41049089044,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
19,NaN,2-s2.0-37349127372,MATH,2614,Theoretical Computer Science
20,"['Astrocytoma', 'Proteomics', 'Rat']",2-s2.0-40549117909,BIOC,1312,Molecular Biology
21,"['Critical residue', 'Gentisate 1,2-dioxygenase', 'Ralstonia solanacearum GMI1000', 'Site-directed mutagenesis']",2-s2.0-38749134080,BIOC,1311,Genetics
22,NaN,2-s2.0-37249048033,AGRI,1100,Agricultural and Biological Sciences (all)
23,NaN,2-s2.0-37249038031,AGRI,1101,Agricultural and Biological Sciences (miscellaneous)
24,NaN,2-s2.0-37249001273,ENGI,2200,Engineering (all)
25,NaN,2-s2.0-37249067061,MATH,2614,Theoretical Computer Science
26,NaN,2-s2.0-37249032559,COMP,1700,Computer Science (all)
27,NaN,2-s2.0-37249090728,AGRI,1100,Agricultural and Biological Sciences (all)
28,NaN,2-s2.0-37249035119,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
29,NaN,2-s2.0-37249020943,MEDI,2700,Medicine (all)
30,NaN,2-s2.0-37249023727,BIOC,1315,Structural Biology
31,NaN,2-s2.0-37249001283,MATH,2604,Applied Mathematics
32,NaN,2-s2.0-37249078153,BIOC,1303,Biochemistry
33,NaN,2-s2.0-37249054669,MEDI,2700,Medicine (all)
34,NaN,2-s2.0-37249093563,AGRI,1100,Agricultural and Biological Sciences (all)
35,NaN,2-s2.0-37249012025,ENVI,2303,Ecology
36,NaN,2-s2.0-37249025126,COMP,1700,Computer Science (all)
37,NaN,2-s2.0-37249045601,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
38,NaN,2-s2.0-37249075041,MATH,2614,Theoretical Computer Science
39,NaN,2-s2.0-37249003780,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
40,NaN,2-s2.0-37249048390,COMP,1700,Computer Science (all)
41,NaN,2-s2.0-37249072490,MATH,2614,Theoretical Computer Science
42,NaN,2-s2.0-37249049879,COMP,1700,Computer Science (all)
43,NaN,2-s2.0-37249089783,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
44,NaN,2-s2.0-37249059329,MATH,2614,Theoretical Computer Science
45,NaN,2-s2.0-37249071408,MATH,2614,Theoretical Computer Science
46,NaN,2-s2.0-37249065355,COMP,1700,Computer Science (all)
47,NaN,2-s2.0-37249013422,COMP,1700,Computer Science (all)
48,NaN,2-s2.0-37249077409,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
49,NaN,2-s2.0-84857627644,MATH,2614,Theoretical Computer Science
50,NaN,2-s2.0-37249046051,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
51,NaN,2-s2.0-37249068521,COMP,1700,Computer Science (all)
52,"['6P13', 'Cynomolgus', 'FISH', 'MHC class I', 'Pooled cDNAs']",2-s2.0-37249069367,MATH,2614,Theoretical Computer Science
53,NaN,2-s2.0-37249029202,COMP,1700,Computer Science (all)
54,"['Free energy', 'Maximum weighted independent set', 'Path decomposition', 'Pseudoknot', 'RNA secondary structure prediction']",2-s2.0-37249048357,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
55,"['Cross-jurisdictional information sharing', 'Infectious disease informatics', 'Outbreak detection', 'Public health information systems', 'System evaluation']",2-s2.0-37249092973,MATH,2614,Theoretical Computer Science
56,"['Antibody diversification', 'Clonal proliferation', 'Gene fragment recombination', 'Job-shop scheduling problem', 'Multi-modal immune algorithm']",2-s2.0-37249085676,COMP,1700,Computer Science (all)
57,NaN,2-s2.0-37249017509,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
58,"['Bio-informatics', 'Data mining', 'Machine learning']",2-s2.0-37249087909,MATH,2614,Theoretical Computer Science
59,NaN,2-s2.0-37249000969,COMP,1700,Computer Science (all)
60,NaN,2-s2.0-37249040464,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
61,NaN,2-s2.0-37249006817,MATH,2614,Theoretical Computer Science
62,NaN,2-s2.0-37249016368,COMP,1700,Computer Science (all)
63,NaN,2-s2.0-37249063096,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
64,NaN,2-s2.0-37249064221,MATH,2614,Theoretical Computer Science
65,NaN,2-s2.0-37249025116,MATH,2614,Theoretical Computer Science
66,NaN,2-s2.0-37249017997,COMP,1700,Computer Science (all)
67,NaN,2-s2.0-37249014401,MATH,2614,Theoretical Computer Science
68,"['Folding pathways', 'Hierarchical folding', 'Pseudoknot', 'RNA', 'Secondary structure prediction']",2-s2.0-37249075905,COMP,1700,Computer Science (all)
69,NaN,2-s2.0-37249000408,COMP,1700,Computer Science (all)
70,NaN,2-s2.0-37249011265,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
71,"['Adaptive control', 'Artificial immune systems', 'Bio-informatics', 'Intelligent systems', 'Optimization', 'Systems for real life applications']",2-s2.0-37249042751,MATH,2614,Theoretical Computer Science
72,NaN,2-s2.0-37249012841,COMP,1700,Computer Science (all)
73,NaN,2-s2.0-37249047123,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
74,NaN,2-s2.0-37249026752,MATH,2614,Theoretical Computer Science
75,NaN,2-s2.0-37249019523,COMP,1700,Computer Science (all)
76,NaN,2-s2.0-84954348756,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
77,"['γ-Turn types', 'Support vector machines (SVMs)', 'Tripeptides']",2-s2.0-36248961670,MATH,2614,Theoretical Computer Science
78,NaN,2-s2.0-42149134851,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
79,NaN,2-s2.0-48149107668,COMP,1700,Computer Science (all)
80,NaN,2-s2.0-42149187635,MATH,2614,Theoretical Computer Science
81,NaN,2-s2.0-38849207456,COMP,1700,Computer Science (all)
82,NaN,2-s2.0-42149156031,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
83,NaN,2-s2.0-42149105642,MATH,2614,Theoretical Computer Science
84,NaN,2-s2.0-37149039636,COMP,1700,Computer Science (all)
85,NaN,2-s2.0-37149003143,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
86,NaN,2-s2.0-37149016806,MATH,2614,Theoretical Computer Science
87,NaN,2-s2.0-37149019919,MATH,2614,Theoretical Computer Science
88,NaN,2-s2.0-37149015538,COMP,1700,Computer Science (all)
89,NaN,2-s2.0-37149042345,COMP,1700,Computer Science (all)
90,NaN,2-s2.0-37149006746,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
91,NaN,2-s2.0-37149026778,MATH,2614,Theoretical Computer Science
92,NaN,2-s2.0-37149026044,COMP,1700,Computer Science (all)
93,NaN,2-s2.0-37149025058,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
94,NaN,2-s2.0-37149019373,MATH,2614,Theoretical Computer Science
95,NaN,2-s2.0-37149022969,COMP,1700,Computer Science (all)
96,NaN,2-s2.0-37149034099,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
97,NaN,2-s2.0-37149047907,MATH,2614,Theoretical Computer Science
98,NaN,2-s2.0-37149016435,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
99,NaN,2-s2.0-37149052523,COMP,1700,Computer Science (all)
100,"['Bioinformatics', 'Boolean satisfiability', 'Computational biology', 'Genetics', 'Pedigree Consistency checking', 'SAT']",2-s2.0-37149038380,MATH,2614,Theoretical Computer Science
101,"['Biomarkers', 'Genomics', 'Transplantation']",2-s2.0-36249011457,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
102,NaN,2-s2.0-39549092815,COMP,1700,Computer Science (all)
103,NaN,2-s2.0-37149002279,MATH,2614,Theoretical Computer Science
104,"['Adaptive filter', 'Bioinformatics', 'Gene prediction', 'Period-3 behavior']",2-s2.0-38049100561,MATH,2614,Theoretical Computer Science
105,NaN,2-s2.0-40549106752,COMP,1700,Computer Science (all)
106,NaN,2-s2.0-40649125860,COMP,1700,Computer Science (all)
107,NaN,2-s2.0-44449144053,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
108,"['Bioinformatics', 'Data mining', 'Protein structure comparison', 'Proteins', 'Soft computing']",2-s2.0-37149006797,MATH,2614,Theoretical Computer Science
109,NaN,2-s2.0-44349171666,MATH,2614,Theoretical Computer Science
110,NaN,2-s2.0-40549106454,COMP,1700,Computer Science (all)
111,"['Cancer', 'Microarray', 'Tumor heterogeneity']",2-s2.0-37449019870,COMP,1700,Computer Science (all)
112,"['Adrenal cortex', 'Angiotensin', 'Genomics', 'Mineralocorticoid', 'Potassium']",2-s2.0-37448999731,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
113,"['Bioinformatics', 'Chemical biology', 'Computational model', 'Decorrelation', 'Olfactory coding']",2-s2.0-38049165680,MATH,2614,Theoretical Computer Science
114,NaN,2-s2.0-39049169222,COMP,1700,Computer Science (all)
115,"['Bioinformatics', 'Clustering', 'Microarrays', 'Pharmacogenomics', 'Regulation']",2-s2.0-35348872479,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
116,NaN,2-s2.0-37349064215,MATH,2614,Theoretical Computer Science
117,"['Amelogenin', 'CD63', 'Enamel matrix', 'Lysosome-associated membrane protein 1 (LAMP1)', 'Protein-protein interaction', 'Yeast two-hybrid assay']",2-s2.0-37549021878,COMP,1700,Computer Science (all)
