,Author Keyword,eID,Abbreviation,Code,Text
0,NaN,2-s2.0-84956750854,COMP,1700,Computer Science (all)
1,"['algae', 'in silico analysis', 'lower fungi', 'meiosis', 'proteins', 'synaptonemal complex', 'unicellular organisms']",2-s2.0-84891117764,BIOC,1311,Genetics
2,NaN,2-s2.0-84896733048,AGRI,1102,Agronomy and Crop Science
3,NaN,2-s2.0-84896705093,AGRI,1103,Animal Science and Zoology
4,"['Channa striatus', 'Gene expression', 'Hemagglutination assay', 'Lily type lectin', 'Sugar binding specificity']",2-s2.0-84881113852,AGRI,1100,Agricultural and Biological Sciences (all)
5,"['Arginine kinase', 'Gene expression', 'IgE epitope', 'Protein homology modeling', 'Shellfish allergy', 'Synthesized peptides']",2-s2.0-84881112497,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
6,NaN,2-s2.0-84896722092,MEDI,2700,Medicine (all)
7,NaN,2-s2.0-84891111694,AGRI,1100,Agricultural and Biological Sciences (all)
8,"['Absorption spectra', 'Cancer diagnostics', 'Early detection', 'FTIR spectroscopy']",2-s2.0-84891056960,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
9,"['Bioinformatics', 'Dynamic hierarchical clustering', 'Gene expression', 'Unsupervised learning']",2-s2.0-84891087189,MEDI,2700,Medicine (all)
10,"['HCV', 'IRES', 'RNA secondary structure', 'Thermodynamic']",2-s2.0-84891119329,BIOC,1312,Molecular Biology
11,NaN,2-s2.0-84894214238,IMMU,2403,Immunology
12,NaN,2-s2.0-84896707996,MEDI,2700,Medicine (all)
13,NaN,2-s2.0-84896738994,BIOC,1312,Molecular Biology
14,NaN,2-s2.0-84890904150,IMMU,2403,Immunology
15,NaN,2-s2.0-84890955135,MEDI,2700,Medicine (all)
16,"['censoring', 'consumer acceptability', 'potato chips', 'survival analysis']",2-s2.0-84890897555,AGRI,1100,Agricultural and Biological Sciences (all)
17,"['Artemia toxicity', 'Cyanea capillata', 'Cytotoxicity', 'Haemolysins', 'Haemolytic activity', 'HPLC']",2-s2.0-84890931425,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
18,NaN,2-s2.0-84891368129,MEDI,2700,Medicine (all)
19,"['Bioinformatics', 'Data mining', 'Epistasis', 'Expert knowledge', 'Modeling', 'Pathway analyses']",2-s2.0-84891368992,COMP,1702,Artificial Intelligence
20,"['Factors of Successful Application Frameworks (FSAF)', 'Framework design', 'Mobile Patient Monitoring Frameworks (MPMF)', 'Mobile Patient Monitoring Systems (MPMS)', 'Wireless sensors']",2-s2.0-84890960557,COMP,1705,Computer Networks and Communications
21,"['Forest sampling', 'Leaf area index', 'Regression', 'Variance estimation', 'Vertical structure']",2-s2.0-84890249421,BIOC,1305,Biotechnology
22,"['Gene function', 'SNP', 'Topological properties']",2-s2.0-84890862747,COMP,1702,Artificial Intelligence
23,NaN,2-s2.0-84890890287,COMP,1705,Computer Networks and Communications
24,NaN,2-s2.0-84890878273,COMP,1702,Artificial Intelligence
25,NaN,2-s2.0-84891402408,COMP,1707,Computer Vision and Pattern Recognition
26,NaN,2-s2.0-84891408224,AGRI,1100,Agricultural and Biological Sciences (all)
27,"['Affymetrix', 'Alternative splicing', 'Alternatively spliced', 'Azoospermia', 'Gene expression', 'Microarray', 'mRNA isoforms', 'Transcript isoforms', 'Transcriptome']",2-s2.0-84891031218,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
28,"['Blackboard', 'Experimental Research', 'Medical Information Retrieval Course', 'Network Teaching Platform']",2-s2.0-84890888617,MEDI,2700,Medicine (all)
29,"['Blackboard', 'Medical Information Retrieval Course', 'Network Item Bank', 'Network Teaching Platform', 'Online Exam']",2-s2.0-84890887323,MEDI,2700,Medicine (all)
30,"['Analog selection', 'Arbitrary similarity', 'Biodescriptor', 'Chemodescriptor', 'Differential quantitative structure-activity relationship (DiffQSAR)', 'DNA', 'Drug design', 'Graph invariant', 'Hazard assessment', 'Hierarchical quantitative structure-activity relationship (HiQSAR)', 'Integrated quantitative structure-activity relationship (I-QSAR)', 'Major pillars of QSAR', 'Mathematical descriptor', 'Mathematical proteomics', 'Molecular similarity', 'Naïve q2', 'Proper cross validation', 'Proteomics descriptor', 'Quantitative molecular similarity analysis (QMSA)', 'Quantitative structure-activity relationship (QSAR)', 'Ridge regression', 'RNA', 'Tailored QMSA', 'Topochemical (TC) indices', 'Topological indices', 'Topostructural (TS) indices', 'True q2']",2-s2.0-84890822991,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
31,NaN,2-s2.0-84890816214,AGRI,1100,Agricultural and Biological Sciences (all)
32,"['Badnavirus', 'Genome', 'Raspberry', 'RNA sequence', 'Virus-derived small RNAs']",2-s2.0-84888200973,AGRI,1100,Agricultural and Biological Sciences (all)
33,"['Deep sequencing', 'Geminiviruses', 'RNA silencing', 'Tomato', 'Viral small RNAs']",2-s2.0-84888203601,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
34,"['Cirrhosis', 'Metabolism', 'Metagenome', 'Microbiota']",2-s2.0-84890923127,MEDI,2700,Medicine (all)
