eid,cite,Title
2-s2.0-38049161948,2,14
2-s2.0-36749042030,17,14
2-s2.0-84858487958,0,9
2-s2.0-84858511527,0,11
2-s2.0-84858503835,0,7
2-s2.0-37349108551,3,10
2-s2.0-37349041400,7,16
2-s2.0-37349014523,3,15
2-s2.0-84858512072,0,11
2-s2.0-37349065612,6,10
2-s2.0-37349042217,0,13
2-s2.0-36048947403,8,9
2-s2.0-37349030190,1,8
2-s2.0-37349084966,4,17
2-s2.0-37349039010,0,4
2-s2.0-84858483521,0,13
2-s2.0-37349071519,8,12
2-s2.0-84988591378,0,12
2-s2.0-41049089044,4,8
2-s2.0-37349127372,2,21
2-s2.0-40549117909,2,9
2-s2.0-38749134080,0,14
2-s2.0-37249048033,0,11
2-s2.0-37249038031,0,10
2-s2.0-37249001273,0,18
2-s2.0-37249067061,0,18
2-s2.0-37249032559,0,18
2-s2.0-37249090728,0,18
2-s2.0-37249035119,0,18
2-s2.0-37249020943,0,18
2-s2.0-37249023727,0,18
2-s2.0-37249001283,0,18
2-s2.0-37249078153,0,18
2-s2.0-37249054669,0,18
2-s2.0-37249093563,0,18
2-s2.0-37249012025,0,18
2-s2.0-37249025126,0,18
2-s2.0-37249045601,0,18
2-s2.0-37249075041,0,18
2-s2.0-37249003780,0,18
2-s2.0-37249048390,0,18
2-s2.0-37249072490,0,18
2-s2.0-37249049879,0,18
2-s2.0-37249089783,0,18
2-s2.0-37249059329,0,18
2-s2.0-37249071408,0,18
2-s2.0-37249065355,0,18
2-s2.0-37249013422,0,18
2-s2.0-37249077409,0,18
2-s2.0-84857627644,0,18
2-s2.0-37249046051,0,18
2-s2.0-37249068521,0,7
2-s2.0-37249069367,3,13
2-s2.0-37249029202,3,16
2-s2.0-37249048357,0,12
2-s2.0-37249092973,2,20
2-s2.0-37249085676,2,8
2-s2.0-37249017509,0,11
2-s2.0-37249087909,3,10
2-s2.0-37249000969,0,9
2-s2.0-37249040464,1,6
2-s2.0-37249006817,2,9
2-s2.0-37249016368,2,5
2-s2.0-37249063096,0,10
2-s2.0-37249064221,0,7
2-s2.0-37249025116,0,14
2-s2.0-37249017997,8,6
2-s2.0-37249014401,11,10
2-s2.0-37249075905,8,9
2-s2.0-37249000408,18,8
2-s2.0-37249011265,5,6
2-s2.0-37249042751,1,9
2-s2.0-37249012841,1,10
2-s2.0-37249047123,0,13
2-s2.0-37249026752,0,26
2-s2.0-37249019523,0,5
2-s2.0-84954348756,0,9
2-s2.0-36248961670,19,10
2-s2.0-42149134851,32,12
2-s2.0-48149107668,0,10
2-s2.0-42149187635,35,11
2-s2.0-38849207456,14,5
2-s2.0-42149156031,15,16
2-s2.0-42149105642,14,9
2-s2.0-37149039636,0,18
2-s2.0-37149003143,0,18
2-s2.0-37149016806,0,18
2-s2.0-37149019919,0,18
2-s2.0-37149015538,0,18
2-s2.0-37149042345,0,18
2-s2.0-37149006746,0,18
2-s2.0-37149026778,0,18
2-s2.0-37149026044,0,18
2-s2.0-37149025058,0,18
2-s2.0-37149019373,0,18
2-s2.0-37149022969,0,18
2-s2.0-37149034099,0,18
2-s2.0-37149047907,0,18
2-s2.0-37149016435,0,18
2-s2.0-37149052523,0,18
2-s2.0-37149038380,1,5
2-s2.0-36249011457,23,13
2-s2.0-39549092815,1,8
2-s2.0-37149002279,1,11
2-s2.0-38049100561,1,8
2-s2.0-40549106752,3,12
2-s2.0-40649125860,12,15
2-s2.0-44449144053,30,11
2-s2.0-37149006797,7,8
2-s2.0-44349171666,147,10
2-s2.0-40549106454,29,21
2-s2.0-37449019870,13,9
2-s2.0-37448999731,18,13
2-s2.0-38049165680,48,10
2-s2.0-39049169222,41,10
2-s2.0-35348872479,65,10
2-s2.0-37349064215,14,12
2-s2.0-37549021878,21,13
2-s2.0-36849069880,5,20
2-s2.0-36849036339,24,12
2-s2.0-63049131431,1,8
2-s2.0-36849022552,2,8
2-s2.0-35448934906,3,14
2-s2.0-36849020504,59,6
2-s2.0-36849076228,75,11
2-s2.0-36849012677,15,15
2-s2.0-39749134935,14,10
2-s2.0-36849041067,18,12
2-s2.0-35448960400,15,6
2-s2.0-40449123449,8,9
2-s2.0-36749073976,15,14
2-s2.0-36749007260,23,6
2-s2.0-36849055524,1,12
2-s2.0-36849039007,5,8
2-s2.0-36849001513,3,10
2-s2.0-37149042731,132,11
2-s2.0-41149099117,18,13
2-s2.0-36749018036,3,9
2-s2.0-38049100456,566,13
2-s2.0-37148999906,1,11
2-s2.0-38849131252,185,7
2-s2.0-70449509741,26,6
2-s2.0-35348913169,27,17
2-s2.0-35348946401,25,12
2-s2.0-36649034883,13,5
2-s2.0-41649087062,12,10
2-s2.0-38849195476,11,8
2-s2.0-44249109690,8,6
2-s2.0-37349054173,5,7
2-s2.0-37349121133,54,12
2-s2.0-39049156291,2,9
2-s2.0-36448959817,3,14
2-s2.0-36448997026,1,23
2-s2.0-36448960928,30,7
2-s2.0-46849097590,5,6
2-s2.0-47849130891,0,7
2-s2.0-48049122407,0,10
2-s2.0-38449090222,0,9
2-s2.0-84878125755,1,9
2-s2.0-51849153242,0,10
2-s2.0-49649090620,0,8
2-s2.0-77953069142,0,15
2-s2.0-47649107840,1,7
2-s2.0-84881405964,1,10
2-s2.0-84869820654,0,10
2-s2.0-39749131260,1,14
2-s2.0-47649089268,0,8
2-s2.0-48049094552,1,7
2-s2.0-47349117941,0,11
2-s2.0-77956444163,0,10
2-s2.0-38449113492,37,5
2-s2.0-44949201114,0,7
